Q,Economic_Activity,Number_Of_Establishments,Number_Of_Saudis,Number_Of_Male_Saudis,Number_Of_Female_Saudis,Number_Of_Nonsaudis,Number_Of_Male_Nonaudis,Number_Of_Female_Nonaudis,total_employees,Qseries
3,صُنع الخشب ومنتجات الخشب والفلين ، باستثناء الأثاث ، صُنع أصناف من القش ومواد الضفر,86,15,8,7,210,210,0,225,2022-7
4,الأنشطة العقارية,71,39,19,20,180,180,0,219,2022-10
1,الأنشطة الأخرى للتعدين واستغلال المحاجر,21,39,28,11,179,179,0,218,2022-1
3,الأنشطة الإدارية للمكاتب ، وأنشطة الدعم للمكاتب وغير ذلك من أنشطة الدعم للأعمال,96,34,16,18,183,182,1,217,2022-7
1,صنع منتجات المطاط واللدائن,14,65,31,34,151,151,0,216,2022-1
2,أنشطة العمل الاجتماعي، دون إقامة,41,93,55,38,118,118,0,211,2022-4
3,الأنشطة العقارية,68,33,17,16,178,178,0,211,2022-7
2,الأنشطة الأخرى للتعدين واستغلال المحاجر,20,50,27,23,159,159,0,209,2022-4
1,صُنع الخشب ومنتجات الخشب والفلين ، باستثناء الأثاث ، صُنع أصناف من القش ومواد الضفر,76,17,12,5,192,192,0,209,2022-1
1,أنشطة العمل الاجتماعي، دون إقامة,40,89,50,39,117,116,1,206,2022-1
2,الأنشطة الإدارية للمكاتب ، وأنشطة الدعم للمكاتب وغير ذلك من أنشطة الدعم للأعمال,90,29,16,13,175,172,3,204,2022-4
2,أنشطة الاستخدام,54,55,22,33,148,117,31,203,2022-4
1,صُنع المنسوجات,51,12,7,5,190,184,6,202,2022-1
4,إصلاح وتركيب الآلات والمعدات,58,14,6,8,186,186,0,200,2022-10
3,الصناعة التحويلية الأخرى,8,46,39,7,152,145,7,198,2022-7
2,صُنع المنسوجات,53,12,8,4,183,175,8,195,2022-4
4,الصناعة التحويلية الأخرى,8,49,41,8,146,141,5,195,2022-10
1,أنشطة الاستخدام,49,43,19,24,150,110,40,193,2022-1
3,أنشطة الاستخدام,62,46,22,24,140,115,25,186,2022-7
3,إصلاح وتركيب الآلات والمعدات,54,19,10,9,166,166,0,185,2022-7
2,صُنع المواد الكيميائية والمنتجات الكيميائية,19,36,17,19,147,147,0,183,2022-4
4,أنشطة الاستخدام,59,45,21,24,137,116,21,182,2022-10
1,أنشطة النشر,5,1,1,0,181,180,1,182,2022-1
1,الأنشطة العقارية,55,37,20,17,142,142,0,179,2022-1
4,الأنشطة الأخرى للتعدين واستغلال المحاجر,22,42,22,20,135,134,1,177,2022-10
3,الأنشطة الأخرى للتعدين واستغلال المحاجر,23,42,22,20,133,133,0,175,2022-7
3,صناعة الآلات والمعدات غير المصنفة في موضع أخر,11,1,1,0,173,173,0,174,2022-7
1,الأنشطة الإدارية للمكاتب ، وأنشطة الدعم للمكاتب وغير ذلك من أنشطة الدعم للأعمال,73,27,13,14,143,139,4,170,2022-1
4,صناعة الآلات والمعدات غير المصنفة في موضع أخر,12,2,1,1,166,166,0,168,2022-10
1,الصناعة التحويلية الأخرى,5,35,34,1,131,131,0,166,2022-1
2,الصناعة التحويلية الأخرى,5,36,35,1,128,128,0,164,2022-4
2,الأنشطة العقارية,56,31,18,13,131,131,0,162,2022-4
3,صُنع المنسوجات,55,10,5,5,150,143,7,160,2022-7
4,صُنع المنسوجات,55,10,5,5,148,140,8,158,2022-10
