Q,Economic_Activity,Number_Of_Establishments,Number_Of_Saudis,Number_Of_Male_Saudis,Number_Of_Female_Saudis,Number_Of_Nonsaudis,Number_Of_Male_Nonaudis,Number_Of_Female_Nonaudis,total_employees,Qseries
4,أنشطة المكتبات والمحفوظات والمتاحف والأنشطة الثقافية الأخرى,7,0,0,0,16,16,0,16,2023-10
3,صنع المنتجات الصيدلانية الأساسية والمستحضرات الصيدلانية,5,2,0,2,14,14,0,16,2023-7
1,النقل المائي,6,0,0,0,15,15,0,15,2023-1
1,صنع الحواسيب والمنتجات الإلكترونية والبصرية,5,1,0,1,14,14,0,15,2023-1
3,صناعة المركبات ذات المحركات والمركبات المقطورة ونصف المقطورة,8,1,0,1,14,14,0,15,2023-7
4,صنع المنتجات الصيدلانية الأساسية والمستحضرات الصيدلانية,5,0,0,0,14,14,0,14,2023-10
4,صناعة المركبات ذات المحركات والمركبات المقطورة ونصف المقطورة,7,1,0,1,13,13,0,14,2023-10
1,صناعة المركبات ذات المحركات والمركبات المقطورة ونصف المقطورة,8,1,0,1,13,13,0,14,2023-1
3,أنشطة المكتبات والمحفوظات والمتاحف والأنشطة الثقافية الأخرى,6,1,0,1,13,13,0,14,2023-7
1,أنشطة المكتبات والمحفوظات والمتاحف والأنشطة الثقافية الأخرى,6,0,0,0,13,13,0,13,2023-1
2,صنع المنتجات الصيدلانية الأساسية والمستحضرات الصيدلانية,4,2,0,2,11,11,0,13,2023-4
2,أنشطة المكتبات والمحفوظات والمتاحف والأنشطة الثقافية الأخرى,6,0,0,0,13,13,0,13,2023-4
2,صناعة معدات النقل الأخرى,4,1,0,1,12,12,0,13,2023-4
1,صناعة معدات النقل الأخرى,4,1,0,1,12,12,0,13,2023-1
1,أنشطة المكاتب الرئيسية، والأنشطة الاستشارية في مجال الإدارة,4,0,0,0,12,12,0,12,2023-1
3,أنشطة المكاتب الرئيسية، والأنشطة الاستشارية في مجال الإدارة,4,0,0,0,11,11,0,11,2023-7
4,الرعاية مع الإقامة,1,11,2,9,0,0,0,11,2023-10
4,أنشطة المكاتب الرئيسية، والأنشطة الاستشارية في مجال الإدارة,4,0,0,0,11,11,0,11,2023-10
2,أنشطة المكاتب الرئيسية، والأنشطة الاستشارية في مجال الإدارة,4,0,0,0,11,11,0,11,2023-4
3,صناعة معدات النقل الأخرى,4,1,0,1,10,10,0,11,2023-7
3,النقل الجوي,3,0,0,0,9,9,0,9,2023-7
4,النقل الجوي,3,0,0,0,9,9,0,9,2023-10
4,صناعة معدات النقل الأخرى,3,0,0,0,8,8,0,8,2023-10
4,تعدين ركازات الفلزات,5,1,0,1,7,7,0,8,2023-10
4,تعدين الفحم والليغنيت,2,2,2,0,4,4,0,6,2023-10
2,أنشطة البريد ونقل الرسائل والطرود بواسطة مندوبين,4,0,0,0,6,6,0,6,2023-4
3,تعدين الفحم والليغنيت,2,2,2,0,4,4,0,6,2023-7
2,صُنع المنتجات الجلدية والمنتجات ذات الصلة,3,1,0,1,4,4,0,5,2023-4
2,النقل الجوي,2,0,0,0,5,5,0,5,2023-4
1,النقل الجوي,2,0,0,0,5,5,0,5,2023-1
4,الأنشطة الإبداعية والفنون وأنشطة الترفيه,2,0,0,0,5,5,0,5,2023-10
1,صُنع المنتجات الجلدية والمنتجات ذات الصلة,3,0,0,0,5,5,0,5,2023-1
1,تمويل التأمين وإعادة التأمين وصناديق المعاشات التقاعدية باستثناء الضمان الاجتماعي الإلزامي,2,0,0,0,5,5,0,5,2023-1
1,الأنشطة الإبداعية والفنون وأنشطة الترفيه,2,0,0,0,5,5,0,5,2023-1
1,أنشطة البريد ونقل الرسائل والطرود بواسطة مندوبين,3,0,0,0,4,4,0,4,2023-1
3,أنشطة البرمجة والإذاعة,1,1,1,0,3,3,0,4,2023-7
1,تعدين الفحم والليغنيت,1,0,0,0,4,4,0,4,2023-1
1,أنشطة البرمجة والإذاعة,1,1,1,0,3,3,0,4,2023-1
4,تمويل التأمين وإعادة التأمين وصناديق المعاشات التقاعدية باستثناء الضمان الاجتماعي الإلزامي,1,1,0,1,3,3,0,4,2023-10
2,تمويل التأمين وإعادة التأمين وصناديق المعاشات التقاعدية باستثناء الضمان الاجتماعي الإلزامي,2,0,0,0,4,4,0,4,2023-4
2,أنشطة البرمجة والإذاعة,1,1,1,0,3,3,0,4,2023-4
4,صُنع المنتجات الجلدية والمنتجات ذات الصلة,2,0,0,0,4,4,0,4,2023-10
2,الأنشطة الإبداعية والفنون وأنشطة الترفيه,2,0,0,0,4,4,0,4,2023-4
3,الأنشطة الإبداعية والفنون وأنشطة الترفيه,2,0,0,0,4,4,0,4,2023-7
2,تعدين الفحم والليغنيت,1,0,0,0,4,4,0,4,2023-4
2,الصرف الصحي,3,0,0,0,3,3,0,3,2023-4
3,أنشطة المعالجة وخدمات إدارة النفايات الأخرى,1,1,0,1,2,2,0,3,2023-7
1,الصرف الصحي,3,0,0,0,3,3,0,3,2023-1
4,أنشطة البرمجة والإذاعة,1,0,0,0,3,3,0,3,2023-10
3,صُنع المنتجات الجلدية والمنتجات ذات الصلة,2,0,0,0,3,3,0,3,2023-7
1,أنشطة المعالجة وخدمات إدارة النفايات الأخرى,1,1,0,1,1,1,0,2,2023-1
2,أنشطة المعالجة وخدمات إدارة النفايات الأخرى,1,1,0,1,1,1,0,2,2023-4
3,تمويل التأمين وإعادة التأمين وصناديق المعاشات التقاعدية باستثناء الضمان الاجتماعي الإلزامي,1,0,0,0,2,2,0,2,2023-7
4,أنشطة المعالجة وخدمات إدارة النفايات الأخرى,1,1,0,1,1,1,0,2,2023-10
2,أنشطة خدمات دعم التعدين,1,1,1,0,0,0,0,1,2023-4
2,أنشطة خدمات المعلومات,1,0,0,0,1,1,0,1,2023-4
1,أنشطة خدمات المعلومات,1,0,0,0,1,1,0,1,2023-1
1,أنشطة خدمات دعم التعدين,1,1,1,0,0,0,0,1,2023-1
3,أنشطة الاسر المعيشية التي تستخدم أفراداً للعمل المنزلي,1,0,0,0,1,1,0,1,2023-7
2,أنشطة الاسر المعيشية التي تستخدم أفراداً للعمل المنزلي,1,0,0,0,1,1,0,1,2023-4
4,الحراجة وقطع الأخشاب,1,0,0,0,1,1,0,1,2023-10
4,أنشطة الاسر المعيشية التي تستخدم أفراداً للعمل المنزلي,1,0,0,0,1,1,0,1,2023-10
1,أنشطة الاسر المعيشية التي تستخدم أفراداً للعمل المنزلي,1,0,0,0,1,1,0,1,2023-1
3,تشييد المباني,4100,2313,1174,1139,20390,20265,125,22703,2024-7
2,تشييد المباني,3681,2256,1123,1133,19533,19431,102,21789,2024-4
1,تشييد المباني,3532,2330,1168,1162,18990,18915,75,21320,2024-1
3,غير معرف,7159,526,255,271,19870,19691,179,20396,2024-7
2,غير معرف,6867,626,295,331,18231,18089,142,18857,2024-4
1,غير معرف,6038,513,241,272,15930,15826,104,16443,2024-1
3,أنشطة التشييد المتخصصة,1311,1261,628,633,11182,11157,25,12443,2024-7
2,أنشطة التشييد المتخصصة,1268,1126,578,548,10874,10849,25,12000,2024-4
3,تجارة التجزئة، باستثناء المركبات ذات المحركات والدراجات النارية,3390,1398,626,772,9343,9251,92,10741,2024-7
1,تجارة التجزئة، باستثناء المركبات ذات المحركات والدراجات النارية,3183,1535,703,832,9137,9055,82,10672,2024-1
2,تجارة التجزئة، باستثناء المركبات ذات المحركات والدراجات النارية,3255,1459,677,782,9183,9103,80,10642,2024-4
1,أنشطة التشييد المتخصصة,1223,894,560,334,9507,9485,22,10401,2024-1
2,أنشطة تقديم الخدمات للمباني وتجميل المواقع,207,1732,1031,701,7643,7561,82,9375,2024-4
3,أنشطة تقديم الخدمات للمباني وتجميل المواقع,205,1778,1071,707,7577,7462,115,9355,2024-7
1,أنشطة تقديم الخدمات للمباني وتجميل المواقع,211,1360,849,511,7791,7717,74,9151,2024-1
1,أنشطة خدمات الأطعمة والمشروبات,1823,805,318,487,6551,6498,53,7356,2024-1
2,أنشطة خدمات الأطعمة والمشروبات,1829,779,289,490,6500,6446,54,7279,2024-4
3,أنشطة خدمات الأطعمة والمشروبات,1872,749,278,471,6466,6408,58,7215,2024-7
3,النقل البري و النقل عبر الأنابيب,1530,492,270,222,5576,5560,16,6068,2024-7
2,النقل البري و النقل عبر الأنابيب,1392,459,256,203,5245,5235,10,5704,2024-4
1,النقل البري و النقل عبر الأنابيب,1342,434,227,207,4932,4922,10,5366,2024-1
3,الهندسة المدنية,99,808,608,200,3404,3399,5,4212,2024-7
2,الهندسة المدنية,94,704,518,186,3349,3346,3,4053,2024-4
3,صنع منتجات المعادن اللافلزية الأخرى,250,1000,683,317,2811,2804,7,3811,2024-7
1,صنع منتجات المعادن اللافلزية الأخرى,135,984,674,310,2551,2549,2,3535,2024-1
1,تجارة الجملة والتجزئة ، وإصلاح المركبات ذات المحركات والدراجات النارية,1062,356,217,139,3154,3144,10,3510,2024-1
2,تجارة الجملة والتجزئة ، وإصلاح المركبات ذات المحركات والدراجات النارية,1063,355,218,137,3148,3136,12,3503,2024-4
3,تجارة الجملة والتجزئة ، وإصلاح المركبات ذات المحركات والدراجات النارية,1102,348,200,148,3147,3136,11,3495,2024-7
2,صنع منتجات المعادن اللافلزية الأخرى,136,967,651,316,2524,2520,4,3491,2024-4
3,الأنشطة الأخرى للتعدين واستغلال المحاجر,38,614,293,321,2748,2741,7,3362,2024-7
1,تجارة الجملة ، باستثناء المركبات ذات المحركات والدراجات النارية,787,644,326,318,2648,2621,27,3292,2024-1
2,الأنشطة الإيجارية,1165,84,41,43,3118,3103,15,3202,2024-4
1,الأنشطة الإيجارية,1187,76,35,41,3103,3088,15,3179,2024-1
3,الأنشطة الإيجارية,1146,77,44,33,3051,3035,16,3128,2024-7
3,تجارة الجملة ، باستثناء المركبات ذات المحركات والدراجات النارية,822,536,261,275,2557,2533,24,3093,2024-7
2,تجارة الجملة ، باستثناء المركبات ذات المحركات والدراجات النارية,795,506,248,258,2570,2547,23,3076,2024-4
1,الهندسة المدنية,97,511,289,222,2301,2297,4,2812,2024-1
3,الصحة البشرية,108,874,404,470,1923,1031,892,2797,2024-7
2,الصحة البشرية,104,828,391,437,1847,983,864,2675,2024-4
2,الصرف الصحي,12,482,255,227,2182,2181,1,2664,2024-4
1,الصحة البشرية,104,807,378,429,1846,1022,824,2653,2024-1
3,التخزين وأنشطة الدعم للنقل,870,147,66,81,2495,2485,10,2642,2024-7
2,أنشطة الخدمات الشخصية الأخرى,1055,145,45,100,2497,2260,237,2642,2024-4
3,أنشطة الخدمات الشخصية الأخرى,1072,126,34,92,2515,2271,244,2641,2024-7
1,الصرف الصحي,10,450,261,189,2120,2120,0,2570,2024-1
1,أنشطة الخدمات الشخصية الأخرى,1024,133,41,92,2382,2173,209,2515,2024-1
2,التخزين وأنشطة الدعم للنقل,797,103,57,46,2405,2395,10,2508,2024-4
1,التخزين وأنشطة الدعم للنقل,753,91,40,51,2134,2127,7,2225,2024-1
3,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,670,265,160,105,1879,1869,10,2144,2024-7
2,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,667,188,98,90,1561,1552,9,1749,2024-4
1,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,643,176,104,72,1415,1406,9,1591,2024-1
2,الأنشطة الأخرى للتعدين واستغلال المحاجر,36,229,77,152,1205,1198,7,1434,2024-4
1,الأنشطة الأخرى للتعدين واستغلال المحاجر,35,224,77,147,1120,1113,7,1344,2024-1
3,صُنع الملبوسات,444,82,34,48,1155,1091,64,1237,2024-7
2,صُنع الملبوسات,438,75,31,44,1153,1089,64,1228,2024-4
3,التعليم,148,582,167,415,597,553,44,1179,2024-7
1,صُنع الملبوسات,429,63,23,40,1106,1050,56,1169,2024-1
3,صنع منتجات المعادن المشكلة ( باستثناء الآلات والمعدات ),366,94,33,61,1075,1075,0,1169,2024-7
2,صنع منتجات المعادن المشكلة ( باستثناء الآلات والمعدات ),358,101,40,61,1064,1063,1,1165,2024-4
1,إصلاح أجهزة الحاسوب والسلع الشخصية والمنزلية,241,15,7,8,1136,1130,6,1151,2024-1
2,إصلاح أجهزة الحاسوب والسلع الشخصية والمنزلية,246,20,10,10,1076,1072,4,1096,2024-4
1,التعليم,140,529,163,366,566,541,25,1095,2024-1
1,صنع منتجات المعادن المشكلة ( باستثناء الآلات والمعدات ),368,68,31,37,992,992,0,1060,2024-1
3,صُنع المنتجات الغذائية,224,188,88,100,852,844,8,1040,2024-7
3,إصلاح أجهزة الحاسوب والسلع الشخصية والمنزلية,255,18,6,12,1003,998,5,1021,2024-7
2,صُنع المنتجات الغذائية,220,165,73,92,847,838,9,1012,2024-4
2,التعليم,140,418,134,284,555,527,28,973,2024-4
3,الصرف الصحي,15,227,182,45,682,682,0,909,2024-7
2,أنشطة المعمارية والهندسية ، والاختبارات الفنية والتحليل,195,130,87,43,766,765,1,896,2024-4
3,أنشطة المعمارية والهندسية ، والاختبارات الفنية والتحليل,197,139,90,49,749,748,1,888,2024-7
1,أنشطة المعمارية والهندسية ، والاختبارات الفنية والتحليل,198,134,91,43,740,738,2,874,2024-1
3,أنشطة الاستخدام,66,49,22,27,801,130,671,850,2024-7
3,صنع الفلزات القاعدية,34,275,246,29,565,563,2,840,2024-7
1,صنع الفلزات القاعدية,34,271,240,31,564,562,2,835,2024-1
2,صنع الفلزات القاعدية,34,271,240,31,559,557,2,830,2024-4
1,صنع الأثاث,126,132,24,108,678,677,1,810,2024-1
1,صُنع المنتجات الغذائية,205,104,47,57,645,641,4,749,2024-1
2,صنع الأثاث,124,121,25,96,626,625,1,747,2024-4
2,أنشطة الأمن والتحقيقات,3,741,621,120,0,0,0,741,2024-4
3,أنشطة الأمن والتحقيقات,3,718,608,110,0,0,0,718,2024-7
3,صنع الأثاث,132,91,19,72,605,605,0,696,2024-7
2,الإقامة,135,125,58,67,517,515,2,642,2024-4
3,الإقامة,132,131,62,69,483,481,2,614,2024-7
2,توصيل الكهرباء والغاز والبخار وتكييف الهواء,10,199,188,11,412,411,1,611,2024-4
1,صنع منتجات المطاط واللدائن,26,143,44,99,467,467,0,610,2024-1
2,أنشطة الاستخدام,67,47,20,27,563,119,444,610,2024-4
2,تجميع المياه ومعالجتها وتوصيلها,41,100,37,63,510,510,0,610,2024-4
3,تجميع المياه ومعالجتها وتوصيلها,41,101,36,65,508,500,8,609,2024-7
3,توصيل الكهرباء والغاز والبخار وتكييف الهواء,13,190,174,16,413,412,1,603,2024-7
1,تجميع المياه ومعالجتها وتوصيلها,39,102,41,61,500,500,0,602,2024-1
2,صنع منتجات المطاط واللدائن,26,135,42,93,464,464,0,599,2024-4
2,إصلاح وتركيب الآلات والمعدات,94,119,78,41,477,473,4,596,2024-4
3,إصلاح وتركيب الآلات والمعدات,100,115,74,41,479,475,4,594,2024-7
1,توصيل الكهرباء والغاز والبخار وتكييف الهواء,10,193,185,8,391,390,1,584,2024-1
3,صنع منتجات المطاط واللدائن,28,127,37,90,451,451,0,578,2024-7
1,الإقامة,133,126,59,67,412,410,2,538,2024-1
1,إصلاح وتركيب الآلات والمعدات,84,96,59,37,422,420,2,518,2024-1
3,صُنع المشروبات,11,144,92,52,361,361,0,505,2024-7
2,صُنع المشروبات,11,151,95,56,354,354,0,505,2024-4
1,أنشطة الاستخدام,68,51,18,33,434,116,318,485,2024-1
1,صُنع المشروبات,9,141,100,41,333,333,0,474,2024-1
1,أنشطة الأمن والتحقيقات,2,467,360,107,2,2,0,469,2024-1
2,صُنع الخشب ومنتجات الخشب والفلين ، باستثناء الأثاث ، صُنع أصناف من القش ومواد الضفر,98,39,27,12,375,375,0,414,2024-4
3,أنشطة العمل الاجتماعي، دون إقامة,51,252,90,162,154,123,31,406,2024-7
1,أنشطة العمل الاجتماعي، دون إقامة,57,254,98,156,149,127,22,403,2024-1
1,صُنع الخشب ومنتجات الخشب والفلين ، باستثناء الأثاث ، صُنع أصناف من القش ومواد الضفر,96,35,25,10,365,365,0,400,2024-1
3,الأنشطة الإدارية للمكاتب ، وأنشطة الدعم للمكاتب وغير ذلك من أنشطة الدعم للأعمال,161,20,7,13,353,349,4,373,2024-7
2,الأنشطة الإدارية للمكاتب ، وأنشطة الدعم للمكاتب وغير ذلك من أنشطة الدعم للأعمال,149,24,11,13,334,333,1,358,2024-4
2,أنشطة العمل الاجتماعي، دون إقامة,54,201,85,116,140,117,23,341,2024-4
1,الأنشطة الإدارية للمكاتب ، وأنشطة الدعم للمكاتب وغير ذلك من أنشطة الدعم للأعمال,136,27,13,14,299,297,2,326,2024-1
3,صُنع الخشب ومنتجات الخشب والفلين ، باستثناء الأثاث ، صُنع أصناف من القش ومواد الضفر,101,21,7,14,290,290,0,311,2024-7
1,أنشطة جمع النفايات ومعالجتها وتصريفها ، واسترجاع المواد,18,52,24,28,256,256,0,308,2024-1
3,أنشطة جمع النفايات ومعالجتها وتصريفها ، واسترجاع المواد,20,50,29,21,245,243,2,295,2024-7
2,أنشطة جمع النفايات ومعالجتها وتصريفها ، واسترجاع المواد,17,54,30,24,239,238,1,293,2024-4
3,الأنشطة العقارية,108,26,14,12,235,233,2,261,2024-7
2,الأنشطة العقارية,99,24,13,11,225,224,1,249,2024-4
1,الأنشطة الرياضية وأنشطة التسلية والترفيه,50,82,34,48,164,155,9,246,2024-1
1,الأنشطة العقارية,95,28,15,13,211,210,1,239,2024-1
2,الأنشطة الرياضية وأنشطة التسلية والترفيه,47,76,30,46,162,154,8,238,2024-4
3,الأنشطة الرياضية وأنشطة التسلية والترفيه,46,72,27,45,161,152,9,233,2024-7
2,تعدين ركازات الفلزات,6,24,5,19,206,206,0,230,2024-4
1,صُنع المواد الكيميائية والمنتجات الكيميائية,16,49,18,31,180,180,0,229,2024-1
3,صُنع المواد الكيميائية والمنتجات الكيميائية,17,45,17,28,182,182,0,227,2024-7
2,صُنع المواد الكيميائية والمنتجات الكيميائية,16,41,14,27,177,177,0,218,2024-4
1,أنشطة البريد ونقل الرسائل والطرود بواسطة مندوبين,6,5,0,5,207,207,0,212,2024-1
3,تعدين ركازات الفلزات,6,39,8,31,170,170,0,209,2024-7
3,أبحاث الإعلان والسوق,62,32,12,20,164,160,4,196,2024-7
2,أبحاث الإعلان والسوق,55,34,14,20,151,149,2,185,2024-4
3,صُنع المنسوجات,63,3,2,1,177,176,1,180,2024-7
1,أبحاث الإعلان والسوق,54,29,13,16,150,149,1,179,2024-1
3,أنشطة المنظمات ذات العضوية,49,77,60,17,98,98,0,175,2024-7
2,أنشطة المنظمات ذات العضوية,46,77,64,13,89,88,1,166,2024-4
2,صُنع المنسوجات,57,8,3,5,149,149,0,157,2024-4
1,صُنع المنسوجات,56,5,3,2,144,142,2,149,2024-1
2,الأنشطة القانونية وأنشطة المحاسبة,48,50,33,17,98,96,2,148,2024-4
1,أنشطة المنظمات ذات العضوية,39,73,61,12,72,71,1,145,2024-1
3,الأنشطة القانونية وأنشطة المحاسبة,47,45,31,14,100,98,2,145,2024-7
1,الأنشطة القانونية وأنشطة المحاسبة,47,43,31,12,94,92,2,137,2024-1
3,صُنع الورق ومنتجات الورق,26,13,10,3,120,119,1,133,2024-7
2,صُنع الورق ومنتجات الورق,24,11,8,3,112,111,1,123,2024-4
1,صُنع الورق ومنتجات الورق,25,14,8,6,96,95,1,110,2024-1
3,صيد الأسماك وتربية المائيات,31,3,1,2,105,105,0,108,2024-7
1,صناعة الآلات والمعدات غير المصنفة في موضع أخر,11,0,0,0,107,107,0,107,2024-1
3,صناعة الآلات والمعدات غير المصنفة في موضع أخر,10,1,1,0,103,103,0,104,2024-7
2,صيد الأسماك وتربية المائيات,30,1,1,0,101,101,0,102,2024-4
2,صناعة الآلات والمعدات غير المصنفة في موضع أخر,9,0,0,0,101,101,0,101,2024-4
1,صيد الأسماك وتربية المائيات,28,2,2,0,86,86,0,88,2024-1
2,الأنشطة المهنية والعلمية والتقنية الأخرى,30,4,3,1,71,69,2,75,2024-4
3,الأنشطة المهنية والعلمية والتقنية الأخرى,32,3,2,1,69,68,1,72,2024-7
1,الأنشطة المهنية والعلمية والتقنية الأخرى,28,3,2,1,64,62,2,67,2024-1
2,وكالات السفر ومشغّلو الجولات السياحية وخدمات الحجز والأنشطة المتصلة بها,19,11,4,7,49,48,1,60,2024-4
3,وكالات السفر ومشغّلو الجولات السياحية وخدمات الحجز والأنشطة المتصلة بها,18,9,5,4,50,49,1,59,2024-7
3,أنشطة البريد ونقل الرسائل والطرود بواسطة مندوبين,10,0,0,0,55,54,1,55,2024-7
1,وكالات السفر ومشغّلو الجولات السياحية وخدمات الحجز والأنشطة المتصلة بها,16,11,5,6,43,42,1,54,2024-1
2,أنشطة النشر,4,0,0,0,52,52,0,52,2024-4
3,أنشطة النشر,5,1,1,0,51,51,0,52,2024-7
1,أنشطة النشر,3,0,0,0,51,51,0,51,2024-1
1,صنع المعدات الكهربائية,8,6,2,4,40,40,0,46,2024-1
3,صنع المعدات الكهربائية,7,7,2,5,38,38,0,45,2024-7
2,صنع المعدات الكهربائية,8,4,1,3,40,40,0,44,2024-4
3,الصناعة التحويلية الأخرى,11,10,6,4,33,31,2,43,2024-7
1,الصناعة التحويلية الأخرى,9,11,8,3,30,27,3,41,2024-1
2,الصناعة التحويلية الأخرى,10,8,5,3,33,32,1,41,2024-4
3,الإدارة العامة والدفاع ؛ والضمان الاجتماعي الإلزامي,17,4,4,0,36,36,0,40,2024-7
2,الإدارة العامة والدفاع ؛ والضمان الاجتماعي الإلزامي,17,3,3,0,33,33,0,36,2024-4
2,أنشطة البريد ونقل الرسائل والطرود بواسطة مندوبين,6,0,0,0,35,34,1,35,2024-4
1,الطباعة واستنساخ وسائط الأعلام المسجّلة,10,6,1,5,27,27,0,33,2024-1
3,الطباعة واستنساخ وسائط الأعلام المسجّلة,13,3,1,2,29,29,0,32,2024-7
1,الإدارة العامة والدفاع ؛ والضمان الاجتماعي الإلزامي,14,1,1,0,30,30,0,31,2024-1
1,استخراج النفط الخام والغاز الطبيعي,5,7,6,1,23,23,0,30,2024-1
2,الطباعة واستنساخ وسائط الأعلام المسجّلة,11,4,1,3,25,25,0,29,2024-4
3,صنع الحواسيب والمنتجات الإلكترونية والبصرية,8,3,0,3,24,24,0,27,2024-7
3,الاتصالات,12,1,1,0,26,26,0,27,2024-7
1,الأنشطة المساعدة لأنشطة الخدمات المالية وأنشطة التأمين,4,18,17,1,9,9,0,27,2024-1
1,أنشطة البرمجة الحاسوبية والخبرة الاستشارية وما يتصل بها من أنشطة,11,1,0,1,26,25,1,27,2024-1
2,صنع المنتجات الصيدلانية الأساسية والمستحضرات الصيدلانية,9,2,0,2,25,25,0,27,2024-4
2,صنع الحواسيب والمنتجات الإلكترونية والبصرية,8,4,0,4,23,23,0,27,2024-4
3,صنع المنتجات الصيدلانية الأساسية والمستحضرات الصيدلانية,9,1,0,1,25,25,0,26,2024-7
3,النقل المائي,8,1,1,0,24,24,0,25,2024-7
2,استخراج النفط الخام والغاز الطبيعي,4,6,5,1,18,18,0,24,2024-4
2,أنشطة البرمجة الحاسوبية والخبرة الاستشارية وما يتصل بها من أنشطة,11,1,0,1,23,22,1,24,2024-4
3,استخراج النفط الخام والغاز الطبيعي,4,6,5,1,18,18,0,24,2024-7
1,الاتصالات,10,0,0,0,23,23,0,23,2024-1
2,الأنشطة المساعدة لأنشطة الخدمات المالية وأنشطة التأمين,3,18,17,1,5,5,0,23,2024-4
3,أنشطة البرمجة الحاسوبية والخبرة الاستشارية وما يتصل بها من أنشطة,10,2,0,2,21,20,1,23,2024-7
1,النقل المائي,8,0,0,0,22,22,0,22,2024-1
2,النقل المائي,8,0,0,0,22,22,0,22,2024-4
1,صنع الحواسيب والمنتجات الإلكترونية والبصرية,7,2,0,2,20,20,0,22,2024-1
1,الأنشطة البيطرية,10,3,1,2,18,18,0,21,2024-1
3,الأنشطة المساعدة لأنشطة الخدمات المالية وأنشطة التأمين,2,16,15,1,5,5,0,21,2024-7
1,أنشطة الخدمات المالية ، فيما عدا تمويل التأمين وصناديق المعاشات,8,3,0,3,18,18,0,21,2024-1
3,الأنشطة البيطرية,11,4,0,4,15,15,0,19,2024-7
2,الاتصالات,8,0,0,0,18,18,0,18,2024-4
1,صنع المنتجات الصيدلانية الأساسية والمستحضرات الصيدلانية,6,0,0,0,17,17,0,17,2024-1
3,أنشطة الخدمات المالية ، فيما عدا تمويل التأمين وصناديق المعاشات,7,2,0,2,14,14,0,16,2024-7
2,أنشطة الخدمات المالية ، فيما عدا تمويل التأمين وصناديق المعاشات,7,3,1,2,13,13,0,16,2024-4
2,أنشطة المكتبات والمحفوظات والمتاحف والأنشطة الثقافية الأخرى,7,0,0,0,16,16,0,16,2024-4
2,الأنشطة البيطرية,10,2,0,2,14,14,0,16,2024-4
3,أنشطة المكتبات والمحفوظات والمتاحف والأنشطة الثقافية الأخرى,6,1,1,0,15,15,0,16,2024-7
2,صناعة المركبات ذات المحركات والمركبات المقطورة ونصف المقطورة,7,1,0,1,14,14,0,15,2024-4
1,أنشطة المكتبات والمحفوظات والمتاحف والأنشطة الثقافية الأخرى,6,0,0,0,15,15,0,15,2024-1
1,صناعة المركبات ذات المحركات والمركبات المقطورة ونصف المقطورة,7,1,0,1,13,13,0,14,2024-1
3,صناعة المركبات ذات المحركات والمركبات المقطورة ونصف المقطورة,6,1,0,1,13,13,0,14,2024-7
3,أنشطة المكاتب الرئيسية، والأنشطة الاستشارية في مجال الإدارة,5,0,0,0,13,13,0,13,2024-7
3,النقل الجوي,4,2,2,0,11,11,0,13,2024-7
1,أنشطة المكاتب الرئيسية، والأنشطة الاستشارية في مجال الإدارة,4,0,0,0,11,11,0,11,2024-1
2,أنشطة المكاتب الرئيسية، والأنشطة الاستشارية في مجال الإدارة,4,0,0,0,11,11,0,11,2024-4
3,الرعاية مع الإقامة,1,10,0,10,0,0,0,10,2024-7
1,تعدين ركازات الفلزات,5,1,0,1,8,8,0,9,2024-1
2,صناعة معدات النقل الأخرى,3,0,0,0,9,9,0,9,2024-4
1,صناعة معدات النقل الأخرى,3,0,0,0,9,9,0,9,2024-1
3,صناعة معدات النقل الأخرى,3,0,0,0,8,8,0,8,2024-7
1,النقل الجوي,3,0,0,0,7,7,0,7,2024-1
2,النقل الجوي,3,0,0,0,7,7,0,7,2024-4
3,صُنع المنتجات الجلدية والمنتجات ذات الصلة,3,0,0,0,6,6,0,6,2024-7
1,الرعاية مع الإقامة,1,5,1,4,0,0,0,5,2024-1
1,صُنع المنتجات الجلدية والمنتجات ذات الصلة,2,0,0,0,5,5,0,5,2024-1
2,تعدين الفحم والليغنيت,2,1,1,0,4,4,0,5,2024-4
1,الأنشطة الإبداعية والفنون وأنشطة الترفيه,2,0,0,0,5,5,0,5,2024-1
2,صُنع المنتجات الجلدية والمنتجات ذات الصلة,2,0,0,0,5,5,0,5,2024-4
3,الأنشطة الإبداعية والفنون وأنشطة الترفيه,2,0,0,0,5,5,0,5,2024-7
3,تعدين الفحم والليغنيت,2,1,1,0,4,4,0,5,2024-7
2,الأنشطة الإبداعية والفنون وأنشطة الترفيه,2,0,0,0,5,5,0,5,2024-4
1,تعدين الفحم والليغنيت,2,1,1,0,4,4,0,5,2024-1
2,أنشطة المعالجة وخدمات إدارة النفايات الأخرى,2,1,0,1,3,3,0,4,2024-4
1,أنشطة المعالجة وخدمات إدارة النفايات الأخرى,2,1,0,1,3,3,0,4,2024-1
3,أنشطة خدمات دعم التعدين,2,0,0,0,4,4,0,4,2024-7
1,أنشطة البرمجة والإذاعة,1,1,1,0,3,3,0,4,2024-1
3,الحراجة وقطع الأخشاب,2,0,0,0,4,4,0,4,2024-7
