region,Economic_Activity,Number_Of_Establishments,Number_Of_Saudis,Number_Of_Male_Saudis,Number_Of_Female_Saudis,Number_Of_Nonsaudis,Number_Of_Male_Nonaudis,Number_Of_Female_Nonaudis,total_employees
منطقة عسير,تجارة الجملة والتجزئة ، وإصلاح المركبات ذات المحركات والدراجات النارية,4981,1930,1230,700,14793,14763,30,16723
منطقة القصيم,تجارة الجملة والتجزئة ، وإصلاح المركبات ذات المحركات والدراجات النارية,4413,2050,1422,628,14190,14165,25,16240
منطقة تبوك,تجارة التجزئة، باستثناء المركبات ذات المحركات والدراجات النارية,5078,2723,1290,1433,13497,13426,71,16220
منطقة مكة المكرمة,صُنع المواد الكيميائية والمنتجات الكيميائية,600,4628,2657,1971,11538,11396,142,16166
منطقة القصيم,النقل البري و النقل عبر الأنابيب,1863,2668,1613,1055,13119,13060,59,15787
المنطقة الشرقية,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,1991,1965,1295,670,13616,13508,108,15581
منطقة مكة المكرمة,الأنشطة العقارية,2747,5688,3457,2231,9877,9485,392,15565
المنطقة الشرقية,الأنشطة الإيجارية,2035,3117,2101,1016,11706,11646,60,14823
منطقة القصيم,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,1260,1947,1405,542,12803,12771,32,14750
منطقة الرياض,صُنع المنسوجات,1646,2968,1482,1486,11689,11569,120,14657
المنطقة الشرقية,أنشطة جمع النفايات ومعالجتها وتصريفها ، واسترجاع المواد,225,2732,1639,1093,11828,10692,1136,14560
منطقة الرياض,أنشطة المعالجة وخدمات إدارة النفايات الأخرى,19,2076,1653,423,12314,12088,226,14390
منطقة مكة المكرمة,أنشطة المعمارية والهندسية ، والاختبارات الفنية والتحليل,1466,5143,3084,2059,9212,9030,182,14355
منطقة تبوك,أنشطة خدمات الأطعمة والمشروبات,3319,1996,850,1146,12335,12208,127,14331
منطقة مكة المكرمة,صُنع الملبوسات,3362,2341,1032,1309,11942,11120,822,14283
