Q,Economic_Activity,Number_Of_Establishments,Number_Of_Saudis,Number_Of_Male_Saudis,Number_Of_Female_Saudis,Number_Of_Nonsaudis,Number_Of_Male_Nonaudis,Number_Of_Female_Nonaudis,total_employees,Qseries
3,صناعة معدات النقل الأخرى,179,4708,4319,389,2815,2777,38,7523,7
2,صناعة معدات النقل الأخرى,180,4685,4341,344,2812,2775,37,7497,6
1,صناعة معدات النقل الأخرى,177,4713,4393,320,2770,2758,12,7483,5
4,صنع الحواسيب والمنتجات الإلكترونية والبصرية,483,3230,2621,609,4242,4210,32,7472,8
2,أنشطة النشر,612,3633,1590,2043,3780,3588,192,7413,6
1,أنشطة النشر,585,3436,1458,1978,3641,3480,161,7077,5
1,الإدارة العامة والدفاع ؛ والضمان الاجتماعي الإلزامي,769,3812,2507,1305,2621,2515,106,6433,5
2,الإدارة العامة والدفاع ؛ والضمان الاجتماعي الإلزامي,712,3789,2483,1306,2432,2329,103,6221,6
3,الإدارة العامة والدفاع ؛ والضمان الاجتماعي الإلزامي,668,3664,2404,1260,2232,2148,84,5896,7
4,الإدارة العامة والدفاع ؛ والضمان الاجتماعي الإلزامي,599,3683,2464,1219,2056,1978,78,5739,8
4,النقل المائي,491,1962,1401,561,2210,2153,57,4172,8
3,صنع الحواسيب والمنتجات الإلكترونية والبصرية,457,1166,719,447,2988,2972,16,4154,7
3,النقل المائي,489,1973,1418,555,2153,2103,50,4126,7
1,النقل المائي,482,1931,1413,518,2175,2132,43,4106,5
2,النقل المائي,482,1881,1368,513,2061,2016,45,3942,6
4,الرعاية مع الإقامة,139,2744,555,2189,1025,638,387,3769,8
1,الرعاية مع الإقامة,141,2727,387,2340,940,569,371,3667,5
2,صنع الحواسيب والمنتجات الإلكترونية والبصرية,444,1007,613,394,2644,2630,14,3651,6
3,الرعاية مع الإقامة,140,2620,477,2143,942,581,361,3562,7
1,صُنع المنتجات الجلدية والمنتجات ذات الصلة,292,516,203,313,2832,2822,10,3348,5
3,البحث والتطوير في المجال العلمي,229,2332,1814,518,997,919,78,3329,7
4,البحث والتطوير في المجال العلمي,226,2280,1805,475,981,901,80,3261,8
2,البحث والتطوير في المجال العلمي,226,2202,1732,470,1002,925,77,3204,6
1,البحث والتطوير في المجال العلمي,223,2113,1672,441,1004,931,73,3117,5
1,صنع الحواسيب والمنتجات الإلكترونية والبصرية,438,812,545,267,2253,2240,13,3065,5
2,صُنع المنتجات الجلدية والمنتجات ذات الصلة,278,483,187,296,2530,2520,10,3013,6
3,صُنع المنتجات الجلدية والمنتجات ذات الصلة,270,474,181,293,2344,2334,10,2818,7
4,صُنع المنتجات الجلدية والمنتجات ذات الصلة,260,467,177,290,2248,2241,7,2715,8
3,تعدين ركازات الفلزات,240,1465,1260,205,1077,1071,6,2542,7
4,تعدين ركازات الفلزات,242,1378,1206,172,1126,1117,9,2504,8
2,تعدين ركازات الفلزات,243,1426,1252,174,1073,1068,5,2499,6
1,تعدين ركازات الفلزات,246,1385,1230,155,1029,1025,4,2414,5
4,الأنشطة البيطرية,415,633,231,402,1572,1428,144,2205,8
2,الأنشطة البيطرية,392,670,262,408,1514,1388,126,2184,6
2,الرعاية مع الإقامة,132,1242,246,996,897,548,349,2139,6
3,الأنشطة البيطرية,403,628,221,407,1495,1359,136,2123,7
1,الأنشطة البيطرية,385,637,265,372,1469,1347,122,2106,5
1,الأنشطة الإبداعية والفنون وأنشطة الترفيه,306,590,318,272,1106,1041,65,1696,5
2,الأنشطة الإبداعية والفنون وأنشطة الترفيه,304,478,206,272,932,863,69,1410,6
4,الأنشطة الإبداعية والفنون وأنشطة الترفيه,300,386,153,233,736,669,67,1122,8
3,الأنشطة الإبداعية والفنون وأنشطة الترفيه,310,378,146,232,734,667,67,1112,7
1,أنشطة البرمجة والإذاعة,144,424,240,184,682,644,38,1106,5
2,أنشطة البرمجة والإذاعة,139,379,213,166,649,614,35,1028,6
3,أنشطة البرمجة والإذاعة,129,388,215,173,636,596,40,1024,7
4,أنشطة البرمجة والإذاعة,115,298,172,126,604,558,46,902,8
4,الحراجة وقطع الأخشاب,80,161,109,52,680,675,5,841,8
1,أنشطة المكتبات والمحفوظات والمتاحف والأنشطة الثقافية الأخرى,197,157,99,58,513,510,3,670,5
2,أنشطة المكتبات والمحفوظات والمتاحف والأنشطة الثقافية الأخرى,182,137,82,55,445,441,4,582,6
3,أنشطة المكتبات والمحفوظات والمتاحف والأنشطة الثقافية الأخرى,164,135,77,58,397,392,5,532,7
4,أنشطة المكتبات والمحفوظات والمتاحف والأنشطة الثقافية الأخرى,168,122,71,51,398,393,5,520,8
3,الحراجة وقطع الأخشاب,47,126,72,54,362,358,4,488,7
3,تعدين الفحم والليغنيت,52,136,79,57,255,254,1,391,7
2,تعدين الفحم والليغنيت,49,125,67,58,244,243,1,369,6
2,الحراجة وقطع الأخشاب,31,69,43,26,273,272,1,342,6
4,تعدين الفحم والليغنيت,61,75,36,39,260,258,2,335,8
1,تعدين الفحم والليغنيت,44,94,47,47,212,212,0,306,5
1,الحراجة وقطع الأخشاب,20,13,5,8,71,71,0,84,5
2,أنشطة الاسر المعيشية التي تستخدم أفراداً للعمل المنزلي,28,8,4,4,64,61,3,72,6
1,أنشطة الاسر المعيشية التي تستخدم أفراداً للعمل المنزلي,28,7,3,4,62,59,3,69,5
3,أنشطة الاسر المعيشية التي تستخدم أفراداً للعمل المنزلي,27,6,2,4,60,58,2,66,7
4,أنشطة الاسر المعيشية التي تستخدم أفراداً للعمل المنزلي,25,6,2,4,56,54,2,62,8
1,الأنشطة غير المتميزة لإنتاج السلع والخدمات التي تقوم بها الأسر المعيشية الخاصة لإستعمالها الخاص,7,0,0,0,23,21,2,23,5
2,الأنشطة غير المتميزة لإنتاج السلع والخدمات التي تقوم بها الأسر المعيشية الخاصة لإستعمالها الخاص,6,0,0,0,17,15,2,17,6
3,الأنشطة غير المتميزة لإنتاج السلع والخدمات التي تقوم بها الأسر المعيشية الخاصة لإستعمالها الخاص,6,0,0,0,16,14,2,16,7
4,الأنشطة غير المتميزة لإنتاج السلع والخدمات التي تقوم بها الأسر المعيشية الخاصة لإستعمالها الخاص,6,0,0,0,15,13,2,15,8
